id,id,lat,lon,risk,risk_all_pois,risk_river,risk_elevation,river_dist,river_dist_normalized,RL,inside,has_edu,edu_type,is_road,is_river,urban_prob,elevation,slope
98,1211,38.68378888888889,-9.230901666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,True,0,0,0
99,1212,38.68378888888889,-9.229858333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,True,0,0,0
100,1213,38.68378888888889,-9.228815,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,True,0,0,0
101,1214,38.68378888888889,-9.227771666666667,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,True,0,0,0
102,1215,38.68378888888889,-9.226728333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,True,0,0,0
103,1216,38.68378888888889,-9.225685,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,True,0,0,0
104,1217,38.68378888888889,-9.224641666666669,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,True,0,0,0
105,1218,38.68378888888889,-9.223598333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,True,0,0,0
106,1219,38.68378888888889,-9.222555000000002,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
107,1220,38.68378888888889,-9.221511666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
108,1221,38.68378888888889,-9.220468333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
109,1222,38.68378888888889,-9.219425000000001,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
110,1223,38.68378888888889,-9.218381666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
111,1224,38.68378888888889,-9.217338333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
112,1225,38.68378888888889,-9.216295,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
113,1226,38.68378888888889,-9.215251666666667,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
114,1227,38.68378888888889,-9.214208333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
115,1228,38.68378888888889,-9.213165000000002,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
116,1229,38.68378888888889,-9.212121666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
117,1230,38.68378888888889,-9.211078333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
118,1231,38.68378888888889,-9.210035000000001,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
119,1232,38.68378888888889,-9.208991666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
120,1233,38.68378888888889,-9.207948333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
121,1234,38.68378888888889,-9.206905,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
122,1235,38.68378888888889,-9.205861666666667,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
123,1236,38.68378888888889,-9.204818333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
124,1237,38.68378888888889,-9.203775,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
125,1356,38.68459934640523,-9.236118333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
126,1357,38.68459934640523,-9.235075000000002,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
127,1358,38.68459934640523,-9.234031666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
128,1359,38.68459934640523,-9.232988333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
129,1360,38.68459934640523,-9.231945000000001,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
130,1361,38.68459934640523,-9.230901666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
131,1362,38.68459934640523,-9.229858333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
132,1363,38.68459934640523,-9.228815,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
133,1364,38.68459934640523,-9.227771666666667,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
134,1365,38.68459934640523,-9.226728333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
135,1366,38.68459934640523,-9.225685,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
136,1367,38.68459934640523,-9.224641666666669,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
137,1368,38.68459934640523,-9.223598333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
