id,id,lat,lon,risk,risk_all_pois,risk_river,risk_elevation,river_dist,river_dist_normalized,RL,inside,has_edu,edu_type,is_road,is_river,urban_prob,elevation,slope,hrdiff
382,1857,41.14620625,-8.666171276595746,3.45463923169078,1,1.0,2.45463923169078,9443.034912837613,0.8614875398281222,2,True,False,0,False,True,0.55,-1,0.011111111111111112,0
383,1858,41.14620625,-8.66509255319149,3.45463923169078,1,1.0,2.45463923169078,9358.264789927964,0.8537539663201941,2,True,False,0,False,True,0.10000000000000003,-1,0.011111111111111112,0
384,1859,41.14620625,-8.664013829787235,3.0920042687757094,1,0.6373650370849294,2.45463923169078,9273.601130763202,0.8460301054936772,2,True,False,0,False,False,0.10000000000000003,-1,0.011111111111111112,0
385,1860,41.14620625,-8.66293510638298,3.0920042687757094,1,0.6373650370849294,2.45463923169078,9189.046878080928,0.8383162258143562,2,True,False,0,False,False,0.10000000000000003,-1,0.011111111111111112,1
386,1861,41.14620625,-8.661856382978725,3.4552591683541576,1,1.0,2.4552591683541576,9104.605080061341,0.8306126053675376,2,True,False,0,False,True,0.55,-2,0.022222222222222223,0
387,1862,41.14620625,-8.66077765957447,2.9858909935614606,1,0.6373650370845062,2.3485259564769545,9020.278894893154,0.8229195322745988,2,True,False,0,False,False,0.55,-2,0.06666666666666667,0
388,1863,41.14620625,-8.659698936170214,2.8311011120242116,1,0.6373650370845062,2.1937360749397055,8936.071595569072,0.8152373051304789,2,True,False,0,False,False,0.55,4,0.06666666666666667,0
389,1864,41.14620625,-8.658620212765959,3.2430314634326174,1,1.0,2.2430314634326174,8851.986574919272,0.8075662334628824,2,True,False,0,False,True,0.55,4,0.044444444444444446,0
390,1865,41.14620625,-8.657541489361703,3.2940137906423352,1,1.0,2.2940137906423352,8768.02735090014,0.799906638214771,2,True,True,1,True,True,1,3,0.03333333333333333,0
391,1866,41.14620625,-8.656462765957448,3.3729678144783914,1,1.0,2.3729678144783914,8684.197572148203,0.7922588522510485,2,True,False,0,False,True,0.55,1,0.022222222222222223,0
392,1867,41.14620625,-8.655384042553193,3.0103328515633208,1,0.6373650370849294,2.3729678144783914,8600.501023818068,0.7846232208911548,2,True,False,0,False,False,0.10000000000000003,1,0.022222222222222223,0
393,1868,41.14620625,-8.654305319148937,3.4275164237567313,1,1.0,2.4275164237567313,8516.941633715904,0.7770001024686243,2,True,False,0,False,True,0.10000000000000003,-1,0.022222222222222223,0
394,1869,41.14620625,-8.65322659574468,3.45463923169078,1,1.0,2.45463923169078,8433.52347874894,0.7693898689194723,2,True,False,0,False,True,0,-1,0.011111111111111112,0
395,1870,41.14620625,-8.652147872340425,3.0920042687752862,1,0.6373650370845062,2.45463923169078,8350.250791705104,0.7617929064007014,2,True,False,0,False,False,0.10000000000000003,-1,0.011111111111111112,-1
396,1871,41.14620625,-8.65106914893617,3.090957825753933,1,0.6363185940631532,2.45463923169078,8267.127968383349,0.7542096159408012,2,True,False,0,False,False,0.55,-1,0.011111111111111112,-1
397,1872,41.14620625,-8.649990425531914,3.0920042687757094,1,0.6373650370849294,2.45463923169078,8184.159575092673,0.7466404141238825,2,True,False,0,False,False,0.10000000000000003,-1,0.011111111111111112,-1
