set,min_dissim,mean_dissim,max_jaccard_top,mean_jaccard_top,mean_abs_diff
"('S01', 'S02', 'S09', 'S11')",0.1957403480045622,0.3733096953204168,0.4190064794816415,0.24382156799007473,0.18251667126426693
"('S01', 'S02', 'S04', 'S08')",0.1957403480045622,0.3505233017397046,0.5642857142857143,0.2949001252735261,0.1602858402637821
"('S01', 'S02', 'S05', 'S08')",0.1957403480045622,0.33231757294769093,0.566150178784267,0.29237888835288367,0.15873697446126686
"('S01', 'S02', 'S03', 'S08')",0.1957403480045622,0.3217541238060043,0.39638682252922425,0.2700095012098817,0.18260010896294862
"('S01', 'S02', 'S04', 'S12')",0.1957403480045622,0.31794358776805565,0.5850422195416164,0.30595869167410683,0.16861502868184444
"('S01', 'S02', 'S05', 'S12')",0.1957403480045622,0.3124152319006751,0.5831325301204819,0.3028084291001832,0.16886063995465586
"('S01', 'S02', 'S05', 'S09')",0.1957403480045622,0.31021403557614013,0.5850422195416164,0.30371623015588584,0.17226736478561624
"('S01', 'S02', 'S04', 'S09')",0.1957403480045622,0.3084303233729484,0.5869565217391305,0.30686726152587274,0.1719495303398634
"('S01', 'S02', 'S03', 'S12')",0.1957403480045622,0.2929386188462876,0.39638682252922425,0.28098470715026447,0.1930625625977409
"('S01', 'S02', 'S03', 'S05')",0.1957403480045622,0.29017494472629013,0.5279069767441861,0.2932797949792069,0.136039905099588
"('S01', 'S02', 'S03', 'S04')",0.1957403480045622,0.28912969405400935,0.5208333333333334,0.29493283541446597,0.1434588756317736
"('S01', 'S02', 'S03', 'S09')",0.1957403480045622,0.28459324326749647,0.39638682252922425,0.28231070932002766,0.1964927821267345
"('S05', 'S06', 'S08', 'S11')",0.18548199504094165,0.4169401986009652,0.7042801556420234,0.3195324527873442,0.17830538274003652
"('S01', 'S05', 'S06', 'S11')",0.18548199504094165,0.40991630621238706,0.7042801556420234,0.25280237224454466,0.15253182535139545
