set,min_dissim,mean_dissim,max_jaccard_top,mean_jaccard_top,mean_abs_diff
"('S02', 'S05', 'S08', 'S09')",0.20946273286914607,0.5014105224540537,0.5736526946107784,0.2585015196428407,0.1921452178621119
"('S05', 'S06', 'S08', 'S09')",0.20946273286914607,0.49377629291489744,0.5736526946107784,0.25292091412294937,0.20617901407583716
"('S03', 'S06', 'S08', 'S09')",0.20946273286914607,0.4896277750311706,0.5736526946107784,0.21880221592200036,0.24110594006599173
"('S02', 'S03', 'S08', 'S09')",0.20946273286914607,0.48620638160908325,0.5736526946107784,0.23159780893891546,0.2285726560596715
"('S03', 'S04', 'S08', 'S09')",0.20946273286914607,0.4524412125849978,0.5736526946107784,0.331796003980946,0.18535847306785033
"('S03', 'S07', 'S08', 'S09')",0.20946273286914607,0.45174817221523067,0.5736526946107784,0.24499337027748477,0.19486088539543867
"('S01', 'S03', 'S08', 'S09')",0.20946273286914607,0.4464859389015704,0.5736526946107784,0.24611945716829756,0.18940950387384847
"('S03', 'S08', 'S09', 'S11')",0.20946273286914607,0.4439154071104213,0.5736526946107784,0.3084359153100465,0.18478613273650077
"('S01', 'S06', 'S08', 'S09')",0.20946273286914607,0.44172473629505915,0.5736526946107784,0.22068854088901127,0.20453542358277466
"('S03', 'S05', 'S08', 'S09')",0.20946273286914607,0.43511632802014366,0.5736526946107784,0.34061124759833716,0.18744164614898642
"('S01', 'S02', 'S08', 'S09')",0.20946273286914607,0.43495062703280685,0.5736526946107784,0.2457527387308598,0.18976925004760525
"('S07', 'S08', 'S09', 'S11')",0.20946273286914607,0.4322305742469579,0.5736526946107784,0.24516575809664212,0.12702570066146712
"('S01', 'S08', 'S09', 'S11')",0.20946273286914607,0.42592499635198,0.5736526946107784,0.24271471963830601,0.11375812682629487
"('S02', 'S07', 'S08', 'S09')",0.20946273286914607,0.425812784628666,0.5736526946107784,0.24231669231526531,0.19480931594861825
"('S04', 'S07', 'S08', 'S09')",0.20946273286914607,0.41352977065234564,0.5736526946107784,0.27970890260323067,0.12391833400803527
"('S06', 'S07', 'S08', 'S09')",0.20946273286914607,0.41126704581114204,0.5736526946107784,0.22757198403540135,0.20926947105145366
"('S01', 'S04', 'S08', 'S09')",0.20946273286914607,0.39907884606307187,0.5736526946107784,0.2775299079954863,0.1099416995924577
"('S01', 'S05', 'S08', 'S09')",0.20946273286914607,0.3851886640713039,0.5736526946107784,0.28412096018436533,0.1161009371129551
"('S05', 'S07', 'S08', 'S09')",0.20946273286914607,0.37898002649532614,0.5736526946107784,0.28578515170331825,0.12712315962985943
"('S05', 'S08', 'S09', 'S11')",0.20946273286914607,0.3673572130399444,0.5907990314769975,0.39587023674208544,0.10472112839591526
"('S04', 'S06', 'S08', 'S11')",0.20042860926945794,0.6179021444395547,0.5642857142857143,0.2217741745656426,0.18917658356495257
"('S02', 'S04', 'S08', 'S11')",0.20042860926945794,0.6056980930863289,0.5642857142857143,0.2258802517089058,0.17535019606527957
"('S04', 'S06', 'S07', 'S11')",0.20042860926945794,0.5903284257030359,0.5642857142857143,0.21318390126177475,0.1660382165938641
"('S04', 'S06', 'S11', 'S12')",0.20042860926945794,0.5843363540725719,0.5642857142857143,0.23307834001959646,0.19550462200567098
"('S04', 'S06', 'S09', 'S11')",0.20042860926945794,0.5746248821253477,0.5642857142857143,0.22931420320472365,0.1987472306592024
"('S01', 'S04', 'S06', 'S11')",0.20042860926945794,0.5707570073386412,0.5642857142857143,0.20987399943917806,0.1639514756934135
"('S03', 'S04', 'S06', 'S11')",0.20042860926945794,0.56611333864264,0.5642857142857143,0.2621273794054575,0.17858030483758433
"('S02', 'S04', 'S07', 'S11')",0.20042860926945794,0.5611846360755206,0.5642857142857143,0.23401782587972816,0.15213679272745487
"('S02', 'S04', 'S11', 'S12')",0.20042860926945794,0.554987235626639,0.5642857142857143,0.2451809773273634,0.181678234505998
"('S02', 'S04', 'S09', 'S11')",0.20042860926945794,0.5335059070191739,0.5642857142857143,0.2412452738825616,0.18491346460980826
"('S01', 'S02', 'S04', 'S11')",0.20042860926945794,0.5202933696313494,0.5642857142857143,0.24102741361911603,0.14974403339467038
"('S02', 'S03', 'S04', 'S11')",0.20042860926945794,0.5190024167755132,0.5642857142857143,0.281012188760462,0.16660575206769038
"('S04', 'S07', 'S08', 'S11')",0.20042860926945794,0.47846486120582543,0.5642857142857143,0.25209438588062083,0.11612870366806582
"('S03', 'S04', 'S08', 'S11')",0.20042860926945794,0.46984302241306863,0.5642857142857143,0.3363673181798079,0.1660946275971077
"('S03', 'S04', 'S07', 'S11')",0.20042860926945794,0.46676189366703824,0.5642857142857143,0.29066567423016604,0.14492229651313357
"('S01', 'S04', 'S08', 'S11')",0.20042860926945794,0.45911870257793685,0.5642857142857143,0.249859472964111,0.1041804073768589
"('S04', 'S07', 'S11', 'S12')",0.20042860926945794,0.435385163434193,0.5642857142857143,0.2683950483797931,0.12241471200954235
"('S04', 'S07', 'S09', 'S11')",0.20042860926945794,0.423831721659672,0.5642857142857143,0.26441805858578465,0.12570279922897884
"('S01', 'S03', 'S04', 'S11')",0.20042860926945794,0.41147055150506606,0.5642857142857143,0.29536530244477216,0.14211822155977186
"('S03', 'S04', 'S11', 'S12')",0.20042860926945794,0.41083979486626954,0.5642857142857143,0.35802833996236866,0.1724226660378261
"('S01', 'S04', 'S11', 'S12')",0.20042860926945794,0.39702763206885916,0.5642857142857143,0.2695752693117705,0.10977577313344604
"('S03', 'S04', 'S09', 'S11')",0.20042860926945794,0.38047401896811983,0.5642857142857143,0.353215631134801,0.17564306566396784
