set,min_dissim,mean_dissim,max_jaccard_top,mean_jaccard_top,mean_abs_diff,table,n_candidates,min_cri_iqr
"('S02', 'S04', 'S13', 'S14')",0.057976932218684274,0.11472678884868781,0.8825214899713467,0.7416569765641654,0.04896380918501864,T2g,12,0.20303061349854445
"('S02', 'S04', 'S13', 'S15')",0.09063274286130063,0.12560501896389142,0.8825214899713467,0.742279916277576,0.0550585646056694,T2g,12,0.20785747670623045
"('S02', 'S04', 'S14', 'S15')",0.07907639448750281,0.12035587899950839,0.8664772727272727,0.7585680903422358,0.05369947843068393,T2g,12,0.20303061349854445
"('S02', 'S05', 'S06', 'S08')",0.017537917976032324,0.08274423542964726,0.8611898016997167,0.7729790101828565,0.041255415546280316,T2g,12,0.20495139918266808
"('S02', 'S05', 'S06', 'S09')",0.017537917976032324,0.10847153529280329,0.8611898016997167,0.7440723081338584,0.05264805573817196,T2g,12,0.20495139918266808
"('S02', 'S05', 'S06', 'S10')",0.017537917976032324,0.15339680148033175,0.8611898016997167,0.7115048393394935,0.0740615043106988,T2g,12,0.20495139918266808
"('S02', 'S05', 'S06', 'S11')",0.017537917976032324,0.1563228864686691,0.8611898016997167,0.6801816024853465,0.07522395903265454,T2g,12,0.20495139918266808
"('S02', 'S05', 'S06', 'S13')",0.017537917976032324,0.1126163319127027,0.9071117561683599,0.7232984033427777,0.047733364653269654,T2g,12,0.20495139918266808
"('S02', 'S05', 'S06', 'S14')",0.017537917976032324,0.11674243499954162,0.8611898016997167,0.7245875243247494,0.04969630666329251,T2g,12,0.20303061349854445
"('S02', 'S05', 'S06', 'S15')",0.017537917976032324,0.1081459298302554,0.8611898016997167,0.7444580331383497,0.051427448196739355,T2g,12,0.20495139918266808
"('S02', 'S05', 'S08', 'S09')",0.06849760526256565,0.1022400839202926,0.8377622377622378,0.7620653054894935,0.05159380722857206,T2g,12,0.20785747670623045
"('S02', 'S05', 'S08', 'S10')",0.06849760526256565,0.1380302227653476,0.8377622377622378,0.7369451430256105,0.07203136284406644,T2g,12,0.20785747670623045
"('S02', 'S05', 'S08', 'S11')",0.06849760526256565,0.14157722929923866,0.8377622377622378,0.7058509170945451,0.07324310506319273,T2g,12,0.20785747670623045
"('S02', 'S05', 'S08', 'S13')",0.06849760526256565,0.12004566063854216,0.9071117561683599,0.7523374457027269,0.05023369053609969,T2g,12,0.20785747670623045
"('S02', 'S05', 'S08', 'S14')",0.06849760526256565,0.11970837563631986,0.8377622377622378,0.739609041556323,0.049945147439353195,T2g,12,0.20303061349854445
"('S02', 'S05', 'S08', 'S15')",0.06849760526256565,0.10198503292761874,0.8377622377622378,0.7624510304939848,0.05052672972717287,T2g,12,0.20785747670623045
